Nome;Idade;Peso (kg);Altura (m)
Srta. Elisa Peixoto;18/11/1942;133.08;1.49
Erick Silva;13/10/1940;131.84;1.54
Rafaela Cardoso;06/06/1995;105.5;1.83
Dra. Larissa Arag∆o;29/09/1923;98.61;1.54
Maria Fernanda Peixoto;06/06/1944;122.48;1.78
Milena Pinto;04/10/1994;45.38;1.79
Luigi Porto;14/03/1923;90;1.71
Srta. Nicole da Mata;02/07/1976;47.62;2.05
Clara Barbosa;24/01/1922;128.98;1.93
Jo∆o Lucas da Cruz;17/05/1971;92.04;1.85
Lucas Fernandes;19/10/1907;64.11;1.47
Maria Alice Barbosa;21/09/1956;78.31;1.41
Ben°cio Nunes;24/10/2024;43.57;1.8
Marcelo Martins;02/03/2008;113.06;1.8
Nat†lia Ramos;28/02/1950;75.55;1.67
Cauà Ferreira;16/05/1937;86.31;1.51
Ryan Cardoso;10/11/1927;69.1;1.44
Alexandre Gonáalves;07/09/1913;119.74;1.44
Valentina Monteiro;04/08/1924;103.47;1.52
Luiz Ot†vio Souza;07/12/1970;74.65;1.95
Diogo Freitas;08/05/1925;45.18;1.65
Elisa da Costa;10/05/2003;54.55;1.89
Sophie Cardoso;14/09/1974;113.57;1.74
Maria Vit¢ria Melo;22/06/1993;46.58;1.52
J£lia Porto;24/05/2010;89.69;1.41
Giovanna Nunes;16/01/1950;136.09;1.4
Vitor Gabriel das Neves;03/12/1972;86.16;2.03
Stephany Moura;04/01/1905;49.73;1.44
Nathan Melo;23/09/1995;56.9;1.48
Let°cia Cardoso;01/02/1975;55.28;1.87
Caio Rodrigues;20/04/1940;52.16;1.82
Luana Cavalcanti;07/09/1961;73.6;1.67
Luiz Fernando Sales;11/10/1995;57.56;1.44
Sofia Freitas;09/10/1979;133.03;2.03
Joaquim da Mota;09/03/1919;61.66;1.77
Vit¢ria Cavalcanti;14/04/1992;78.76;1.61
Emanuel Campos;24/06/1930;55.66;1.63
Carolina da Conceiá∆o;03/09/2016;47.26;2
Dra. B†rbara Pereira;11/06/1984;132.47;1.56
Carlos Eduardo Viana;05/10/1901;103.57;1.48
Davi Lucca Farias;03/08/1968;148.69;1.6
Agatha Rocha;15/01/1970;53.26;1.64
Maria Vit¢ria Ribeiro;24/03/1910;128.38;1.42
AndrÇ Azevedo;02/05/1924;79.27;1.99
Guilherme Farias;19/08/1911;89.69;1.43
B†rbara da Luz;14/12/1998;60.97;1.57
Vicente Caldeira;13/04/1926;55.62;1.41
Sra. Isabel Sales;01/08/1930;50.66;2.05
Alexandre Ferreira;20/08/1997;139.57;1.65
Francisco Costa;26/04/2022;138.78;1.89
Alexandre Arag∆o;30/06/1990;81.07;1.8
Al°cia Caldeira;06/05/1906;115.99;2
Esther Nunes;05/04/1975;85.87;1.64
Gabriela Cardoso;20/06/1934;115.28;1.6
Laura Castro;05/12/1978;47.13;1.73
Daniela da Rosa;02/01/2015;46.85;1.51
Ana Sophia Sales;23/10/1950;118.06;1.41
Nathan Mendes;30/05/1962;120.98;1.73
Jo∆o Pedro Cardoso;30/04/1984;140.44;1.53
Leonardo Costela;01/09/1977;65.38;2
Sophie Barbosa;28/03/1998;69.97;1.83
Caio Cardoso;03/12/1911;145.01;1.47
Noah Ramos;31/10/1939;117.74;1.8
Raul Azevedo;30/04/1966;44.69;1.65
Rafael Ramos;29/03/1956;55.75;2.07
Mariane Campos;15/07/1995;76.12;1.94
Helo°sa Campos;21/06/1956;95.55;1.86
Miguel Dias;24/07/1940;126.95;1.9
Srta. Sarah Moraes;02/07/1952;139.04;1.53
Eduardo Carvalho;30/05/1963;87.48;1.66
Raul Dias;03/10/1995;51.79;2.01
Milena da Rosa;03/10/1953;142.22;1.74
Eduarda Nascimento;03/09/1972;106.68;1.97
Emilly Nascimento;24/06/1920;43.16;1.81
Murilo Moreira;27/03/1922;84.63;1.63
Caroline Barbosa;29/08/1982;46.18;1.88
Calebe Teixeira;26/03/2014;144.59;1.59
Caroline Azevedo;13/06/1926;85.71;1.41
Al°cia da Cunha;05/11/1905;61.05;2.09
Gabriela das Neves;10/03/1960;96.37;1.84
Gabriel Azevedo;13/12/1949;120.69;1.91
Srta. Caroline da Costa;21/02/2015;59.85;1.78
Eduardo Arag∆o;16/08/1915;45.05;1.68
Anthony Campos;27/06/1945;70.33;1.94
Beatriz Costela;02/04/1966;73.07;2.1
Luiz Miguel Moraes;02/03/1900;46.87;1.9
Sra. Maria Freitas;02/01/1917;117.11;1.61
Melissa das Neves;05/07/2006;61.85;1.76
Pedro Henrique Almeida;12/03/1997;61.94;1.97
Arthur Nascimento;27/09/1933;139.33;1.65
Al°cia Moreira;02/02/2021;76.59;1.6
Cauà Moraes;30/04/1983;112.29;1.87
Ana Luiza Martins;19/07/2008;94.12;2.06
Eduardo da Costa;12/09/1943;94.68;1.66
Maysa Caldeira;24/04/2000;95.12;1.99
Lara Pereira;25/03/1973;109.63;1.82
Maità Rezende;05/06/1948;52.89;1.44
Lucca Fernandes;04/09/1942;119.26;1.48
Dra. Isabel Nogueira;07/04/2019;132.37;1.44
Luiz Gustavo Castro;21/01/1936;45.72;1.66
Alana Lima;20/04/1921;62.84;1.41
Ana J£lia Farias;24/04/1914;85.96;1.83
Luiz Gustavo Mendes;27/07/1941;75.81;1.49
Maria Fernanda Azevedo;06/05/1906;51.35;1.79
Jo∆o Costela;04/07/2000;129.43;1.66
Marcela Silva;08/09/2010;87.02;1.52
Leonardo Pereira;14/12/1945;134.21;1.62
Srta. Mirella Rezende;17/05/1919;60.86;1.43
Dra. Stella Vieira;23/04/1991;45.51;1.41
Pedro Miguel Carvalho;08/01/1987;90.32;1.51
Jo∆o Vitor Arag∆o;10/01/2008;115.94;1.66
Davi Lucca Nascimento;01/08/1920;138.26;1.63
Levi Novaes;13/02/1984;142.97;1.56
Alexia Mendes;28/03/2002;66.64;1.93
Let°cia Arag∆o;17/01/1948;57.89;1.87
Heitor da Paz;03/09/2015;119.31;1.49
Luiz Miguel Alves;21/07/1906;68.76;1.58
Antìnio Ara£jo;02/11/1995;118.65;1.99
Daniela Barbosa;21/03/1917;133.22;1.42
Srta. Bruna Lopes;23/02/1984;52.41;1.55
Ana J£lia Pinto;31/07/2023;79.13;1.67
Kaique Rocha;01/07/1989;133.91;1.87
Caio Ara£jo;13/02/2001;43.98;1.59
Mariane Costela;17/03/2007;136.58;1.81
Alice Caldeira;05/08/1972;125.63;1.72
Stella Almeida;05/01/1910;91.7;1.49
Gustavo Gonáalves;13/06/1939;118.05;1.77
Ben°cio Carvalho;11/06/1954;147.75;1.99
Eduarda da Costa;13/02/1914;56.65;2.08
Brenda Duarte;18/11/1915;122.59;1.43
Maysa Alves;22/03/1987;59.28;1.98
Francisco Ara£jo;18/12/2009;99.84;1.82
Isadora da Paz;25/08/1903;115.07;1.85
Pedro Miguel da Cunha;20/08/1961;127.55;2.01
Luiz Felipe Cavalcanti;10/07/2004;64.6;1.88
Ana Sophia Cunha;31/12/2013;91.06;1.88
Isabelly Castro;09/10/1925;63.07;2.08
Vinicius Dias;02/06/2005;81.49;1.79
Sabrina Caldeira;11/01/2000;90.53;1.95
Maria Vit¢ria Peixoto;04/12/1951;146.7;1.79
Camila Nunes;09/02/1932;130.72;1.42
Lucas Gabriel Carvalho;14/11/1999;111.22;1.53
Dra. Eduarda Ramos;27/07/1959;120.81;1.71
Luiz Miguel Costela;04/04/1943;120.89;1.51
Rafaela Souza;23/05/1999;133.79;2.03
Luiz Fernando Fogaáa;18/06/1967;125.56;1.86
Gabriel Azevedo;08/01/2013;131.16;1.45
Rafaela Nunes;22/09/1928;61.49;1.43
Emanuelly Jesus;20/11/2003;40.89;1.44
Heitor Novaes;01/05/1940;100.63;1.46
Heitor Moreira;14/02/1984;92.96;1.93
Marcos Vinicius da Conceiá∆o;03/07/2008;79.73;1.99
Luiz Gustavo da Conceiá∆o;06/04/1919;97.1;1.51
Sarah Vieira;06/08/1920;98.73;1.64
Carlos Eduardo Caldeira;31/08/1969;125.94;1.85
Maria Ara£jo;27/10/1979;139.74;1.88
Cauà Azevedo;07/06/1943;64.18;1.45
Caroline Martins;10/11/1992;97.7;1.77
Bruna da Costa;30/04/1959;105.08;1.99
Luiz Fernando Souza;18/08/1981;59.76;1.42
Srta. Ana Julia Almeida;31/05/2022;95.52;1.73
Stephany Silveira;02/01/1914;147.15;2.08
Guilherme Melo;10/10/1991;58.94;1.79
Igor Teixeira;04/08/1973;128.02;1.46
Emilly Correia;08/03/2023;140.17;1.8
Stella Pires;15/12/1914;95.05;1.53
Alexandre Pereira;05/02/1942;149.06;1.91
Vit¢ria Santos;26/04/2001;123.15;1.89
Leandro Dias;15/03/1984;41.98;1.56
Antìnio Oliveira;03/08/1985;49.68;1.52
Felipe Ribeiro;18/02/2014;41.88;1.86
Leandro Lima;23/09/1945;52.85;1.48
Bianca Campos;18/04/1955;93.5;2.05
Julia Cardoso;10/07/1924;71.36;2.03
Isis Farias;16/07/1916;101.77;1.82
Sra. Marcela Barbosa;01/12/2009;127.27;1.72
Danilo Rodrigues;11/06/1956;121.56;1.41
Larissa Pinto;08/06/1933;80.28;1.74
Davi Luiz Nogueira;17/08/1925;96.46;1.5
Gustavo Henrique Cardoso;26/11/1965;68.11;1.51
Lucas Gabriel Almeida;09/01/2012;71.59;2.1
Let°cia Vieira;12/03/1921;112.94;1.58
Eduardo Nogueira;09/04/1989;101.94;1.95
Manuela da Conceiá∆o;04/11/1917;122.85;1.65
Sra. Agatha Farias;19/01/1986;136.4;1.83
Helena Martins;25/09/2010;45.81;1.94
Julia Correia;14/08/1950;99.44;1.49
Enrico Nogueira;30/03/1957;83.74;1.85
Helena Pereira;21/01/2010;82.81;1.94
Ana Laura Pinto;01/02/1908;115.31;1.77
Pietra Sales;09/09/1983;44.85;1.5
Luiza Peixoto;22/01/1917;68.15;1.95
Vitor Gabriel Gonáalves;17/06/2000;58.7;1.42
J£lia Pereira;25/04/2002;143.72;1.88
Luiz Miguel Carvalho;11/02/1940;90.5;1.58
Olivia Martins;17/07/2018;124.98;1.57
Paulo da Rocha;22/08/1961;135.58;1.49
Isabelly Rodrigues;05/05/2020;104.79;1.99
Alexandre das Neves;09/04/1902;132.25;1.67
Yuri Gonáalves;12/06/1936;72.85;1.75
AndrÇ Castro;24/11/2021;70.54;1.86
Thomas da Luz;03/03/1982;72.53;1.55
Marcos Vinicius Barbosa;12/06/1929;68.07;1.63
Nicolas da Cruz;09/12/2020;142.13;1.51
Jo∆o Gabriel da Cunha;05/12/1951;62.26;1.62
Luiz Gustavo Cardoso;22/12/1956;144.99;1.7
Ian Pires;27/12/2008;117.77;1.46
Renan Santos;11/08/2014;77.74;1.46
Jo∆o Vitor da Mota;25/04/1954;88.39;1.83
Ana da Paz;11/11/1913;100.18;1.58
Bernardo Correia;28/07/1903;145.56;1.47
Nicole Souza;22/02/1909;121.37;2
Sra. Ana Luiza Correia;27/05/1976;99.22;1.86
Luiz Fernando Arag∆o;04/05/2001;69.74;1.71
Raul Ara£jo;26/05/2013;53.32;1.49
Enzo Porto;05/05/1964;64.95;1.73
Catarina da Paz;18/10/1978;146.15;1.65
Matheus da Cruz;13/09/2011;49.68;1.54
Valentina Caldeira;26/07/2011;132.98;1.88
Benjamin Cunha;23/09/1939;114.68;1.92
L°via Cavalcanti;23/05/2011;107.33;1.51
Ryan Gonáalves;02/05/1955;57.48;1.97
Sra. Alexia Campos;07/12/1958;98.16;2.08
Lorena Azevedo;21/09/2003;70.59;1.7
Alexandre da Conceiá∆o;06/05/1971;75.23;1.58
Miguel Novaes;24/05/1921;100.82;1.43
Bianca Pires;03/11/1990;109.25;1.41
Isaac Alves;21/06/2022;142.72;1.48
Dra. Pietra das Neves;10/09/1938;61.66;1.6
Joana Campos;27/07/1912;69.94;1.51
Henrique Peixoto;07/10/2003;141.3;1.69
Henrique da Mata;01/07/1989;143.39;1.65
Miguel Silva;29/03/1993;101.32;2.01
Dra. Lav°nia Nunes;29/12/1974;144.62;1.85
Isis Campos;19/08/1994;54.6;1.45
Evelyn Barbosa;08/11/1902;90.57;1.91
Dra. Carolina Cunha;03/10/1950;79.06;1.84
Breno Rodrigues;14/05/1983;130.84;1.78
Pedro Lucas Ferreira;19/02/1900;148.32;1.7
Dra. Luna Moreira;21/04/1984;52.66;2.01
Pedro Henrique Arag∆o;17/08/2017;104.68;1.98
Luiz Miguel Pereira;13/05/1911;56.71;1.65
Sra. Alexia Melo;12/09/2007;129.32;1.45
Renan Moreira;10/10/1947;93.61;1.91
Valentina Carvalho;06/09/2022;95.07;1.9
Matheus Moreira;07/03/1927;101.44;1.98
Bianca Rodrigues;01/11/1921;41.41;1.76
Brenda Freitas;27/03/2005;100.11;1.98
Esther Viana;15/02/1917;69.28;1.52
Nathan Moreira;19/08/1910;147.91;2.08
Jo∆o Miguel Cavalcanti;09/10/1976;68.53;1.44
Davi Lucas Barbosa;16/07/1958;134.05;2.08
Felipe Oliveira;05/06/1962;101.52;1.84
Thomas Ramos;06/07/2003;134.83;1.57
Ben°cio Fernandes;21/10/1941;110.2;1.71
Sra. Laura Nogueira;24/09/1995;81.38;1.64
Raul Lima;04/06/2010;59.82;1.79
Gabriel Freitas;14/04/2020;61.49;1.45
Sophie Porto;20/08/1965;149.01;1.75
Vinicius Souza;14/04/2013;102.64;1.42
Luiza Cardoso;18/08/1906;100.28;1.96
Ana Sophia da Costa;15/07/1918;75.11;1.43
Vitor Gabriel Barros;08/02/1922;148.48;1.94
Marcelo Fernandes;11/11/1927;47.45;1.8
Anthony Rodrigues;06/01/2017;133.07;1.77
Luiza Novaes;01/10/1939;116.3;2.1
Murilo da Mata;05/04/1918;92.74;1.9
Stephany da Conceiá∆o;19/02/2003;133.72;1.95
Gabriela Lima;02/09/1938;96.99;1.46
Leandro Nogueira;20/02/1966;117.65;1.95
Enzo Jesus;15/04/1918;101.63;1.59
La°s Dias;12/10/1958;99.57;1.81
Sofia Fogaáa;27/01/1924;111.62;1.56
Vitor Hugo Fogaáa;01/08/1994;48.54;2.08
Jo∆o Lucas Lopes;13/12/1916;138.43;1.92
Rodrigo da Rosa;06/12/1928;41.04;2.01
Rafaela Martins;01/06/1999;57.12;2.06
Nicole da Conceiá∆o;15/04/1959;118.05;1.7
Daniela Campos;18/12/1933;110.54;1.56
Maysa Rezende;27/11/1915;88.52;1.87
Maria Clara da Mata;30/07/1925;101.73;1.61
Isabelly da Rocha;01/01/1920;116.34;1.98
Isaac Campos;18/06/2001;80.38;1.82
Bianca Pereira;07/05/1953;130.55;1.54
Maysa da Rosa;05/05/1999;91.54;2.09
Sra. Luna Porto;22/02/1987;48.05;1.48
Valentina Farias;20/01/1920;79.75;1.54
Marcos Vinicius Barbosa;14/07/1937;134.26;1.88
Matheus Pinto;28/07/1996;61.48;1.79
Nicole Teixeira;24/04/1972;89.87;1.75
Renan da Luz;27/05/1938;74.05;1.78
Gustavo Henrique Freitas;13/02/1914;108.86;2.01
Enrico da Mota;02/05/2013;47.63;1.75
Luiz Fernando Moraes;02/07/1980;83.19;1.71
Emanuella Moreira;15/02/1972;48.46;1.93
Srta. Isis Fogaáa;04/09/2005;127.62;1.72
Isabelly Silva;20/02/2022;111.64;1.89
Lucas Gabriel Martins;23/03/1962;101.22;1.98
Thomas Silveira;26/09/1900;87.46;1.97
Calebe da Rosa;11/01/1928;119.18;1.61
Brenda Souza;12/05/1935;103.99;1.96
Dra. Sophia Cardoso;24/04/1922;46.59;1.89
Eduardo Peixoto;20/08/2000;148.19;1.73
Davi Luiz Rocha;21/03/1994;114.97;1.7
Maità Caldeira;01/10/1909;43.22;1.66
Heitor Cardoso;21/10/1964;83.38;1.47
Lucca Ramos;13/08/1942;118.38;1.93
Alexandre Fernandes;04/04/1929;122.34;1.65
Luiz Henrique Duarte;09/06/1945;118.51;1.72
Dra. Beatriz da Cruz;29/09/1903;60.57;1.76
Gustavo Henrique Gonáalves;18/07/1903;73.12;1.73
Nat†lia Monteiro;13/01/1967;76.5;1.55
Bruno da Conceiá∆o;21/10/1999;110.19;1.51
Sra. Helena Moura;17/11/1916;107.86;1.48
Ryan Monteiro;04/09/2008;117.57;1.89
Eloah Arag∆o;16/12/1922;100.1;2.06
Juan Monteiro;26/06/1999;65.65;1.54
Sra. Valentina da Rosa;21/05/1903;138.44;1.61
Manuela Lima;13/07/1911;147.87;1.91
Let°cia Santos;03/12/1986;82.61;1.71
Luiz Gustavo Porto;04/12/1914;117.03;2.07
AndrÇ Costela;03/10/1987;138.36;2.02
Ana Clara Teixeira;13/02/1913;75.19;1.64
Davi Lucas Ara£jo;25/11/1955;99.01;2.03
Benjamin Moreira;04/11/1937;89.74;1.79
Diego Pinto;20/08/1991;78.71;1.51
Antìnio Souza;18/09/1990;116.37;1.57
Samuel Santos;31/03/1957;109.72;1.79
Francisco Freitas;11/10/1920;125.83;1.68
Clara Ribeiro;17/05/1921;68.44;1.77
AndrÇ Caldeira;22/04/1983;104.64;2.04
Thomas Cavalcanti;03/05/1919;97.46;1.72
Rafael Campos;13/09/1924;136.51;1.6
Yuri Cunha;25/01/1931;42.71;1.97
Jo∆o Felipe Carvalho;08/06/2007;100.62;1.81
Raul da Costa;21/06/1982;56.75;1.67
Vicente Cardoso;20/08/1914;118.62;1.41
Rafael da Conceiá∆o;26/10/1977;109.16;1.51
Carolina Nogueira;05/06/1962;116.09;1.57
Dra. Rebeca da Rocha;04/06/1923;103.55;1.77
Srta. Maria Alice da Costa;25/11/1910;80.6;1.53
Stella Ramos;22/01/2014;133.73;2.06
Thomas Moura;12/07/1900;59.54;1.48
Luiz Gustavo Gonáalves;28/04/1933;44.33;1.87
Lorenzo Costa;14/02/1944;113.24;1.83
Levi Nunes;21/02/1917;86.56;2
Ana Almeida;14/10/1997;144.15;1.55
Luana Barros;23/02/2016;65.51;1.97
Alana Fogaáa;15/01/1957;50.2;2
Nicole Correia;19/01/1999;111.76;1.52
Clarice Pires;05/05/2008;92.73;1.41
Evelyn Duarte;14/11/1967;70.98;1.6
Isabel Santos;10/10/1945;86.29;2.08
Eduardo Mendes;25/10/2013;79.43;1.8
Leonardo Gonáalves;17/12/1920;51.9;1.65
Samuel Nogueira;05/06/1912;45.43;1.51
Pedro Henrique Farias;25/08/1992;91.36;1.57
Dra. Clara Moreira;24/08/1999;122.57;1.67
Maria Eduarda Gonáalves;21/01/1959;61.8;1.6
Eduardo Costa;04/09/1994;146.87;1.83
Laura Fernandes;31/08/1987;50.56;1.55
Emilly Rocha;16/10/1979;89.2;1.75
Giovanna Pires;28/06/1948;78.6;1.76
Marcos Vinicius Nascimento;03/09/2004;60.1;1.53
Olivia Rocha;20/06/1992;82.21;1.63
Luiz Miguel Porto;02/11/1988;99.46;1.49
Olivia Lima;23/10/2019;97.15;1.98
Vinicius Oliveira;11/11/2004;131.3;1.67
Guilherme Lopes;13/04/1923;100.47;1.45
Davi Lucas Oliveira;23/03/1931;59.54;2.03
Isabel Vieira;17/06/1983;83.31;2.07
Enzo Arag∆o;08/05/1964;51.85;2.06
Jo∆o Fernandes;06/01/1914;89.89;2.03
Beatriz Ramos;07/06/1915;49.98;2.02
Lara da Rocha;17/12/1933;131.48;1.65
Alexia Pinto;11/08/2004;143.42;1.6
Ryan Campos;14/05/1910;55.44;1.82
Raquel Pires;24/03/2021;145.03;1.94
Lorenzo Cardoso;07/11/1929;139.32;1.98
Juan Caldeira;26/04/1959;81.9;1.41
Jo∆o Vitor Azevedo;15/09/1978;89.45;1.67
Caroline Teixeira;11/10/1972;130.18;1.58
Larissa da Cruz;12/01/2006;85.83;2.07
Jo∆o Mendes;29/09/1967;45.41;2.01
Maria Vit¢ria Gonáalves;02/11/1937;123.93;1.77
Srta. Manuela Cardoso;27/04/1926;75.31;2
Carlos Eduardo Caldeira;13/04/2021;128.17;1.79
Vitor Hugo Porto;09/12/1958;131.42;1.44
Ana Beatriz Barbosa;03/04/1996;83.23;1.78
Danilo Gomes;10/11/1977;129.88;1.99
Luna Oliveira;22/02/1919;115.2;1.61
Guilherme Moraes;22/02/1964;86.45;1.65
Marcelo Silveira;28/06/2016;59.63;1.91
Lucca Pires;02/12/2000;122.87;1.46
Clarice Viana;19/07/2010;60.32;1.79
Fernando Novaes;03/08/1930;42.52;1.94
Alexandre Azevedo;29/10/1952;136.5;1.4
Erick Vieira;08/09/1945;78.73;1.65
Lorena Nunes;22/12/1904;146.28;1.72
Ana Laura Cavalcanti;07/11/1994;97.95;1.68
Kevin Costela;21/09/1934;59.36;1.77
Murilo Novaes;01/03/1992;79.54;1.48
Igor Porto;25/10/1948;51.97;1.76
Nat†lia Arag∆o;08/02/1933;82.44;1.78
Ryan da Rosa;08/09/1942;79.16;1.98
Gabriel Correia;12/04/2012;93.14;1.77
Isabelly Campos;15/12/1952;63.2;1.82
Maria Luiza Jesus;26/08/1919;148.03;1.65
Cau∆ Freitas;18/12/1914;47.51;1.97
Isadora Pinto;23/12/1915;93.14;2
Clara Oliveira;20/09/1919;136.02;1.64
Vinicius Ara£jo;29/01/1947;73.73;1.68
Nathan Santos;05/01/1941;43.37;1.47
Lav°nia Moura;12/09/1973;75.28;1.5
Srta. Rafaela Dias;15/08/1929;119.27;1.5
Sra. Julia Gomes;23/11/2020;141.17;1.43
Sophia Ferreira;09/04/1906;132.08;1.4
Marcos Vinicius Moreira;12/11/2006;104.86;2.04
Isaac Ferreira;04/11/1989;82.42;1.71
Stella Gonáalves;09/12/1980;90.76;1.75
Dra. Sofia Gomes;29/08/1961;126.6;1.58
AndrÇ da Mata;01/12/1925;84.11;2.08
Dra. Maria Alice Pereira;16/05/2011;107.92;2.01
Davi Luiz Dias;16/06/1902;126.85;1.47
Vitor Hugo Ara£jo;28/01/1949;43.56;1.92
Juan Castro;12/03/1958;119.7;1.71
Pedro Freitas;15/04/1940;72.37;2.08
Breno Moreira;19/05/1938;134.77;2.05
Miguel Freitas;06/12/1978;128.61;1.71
Rafael Nogueira;20/01/1905;99.61;1.73
Anthony da Rosa;22/02/1942;132.69;1.98
Nicolas Nascimento;07/09/1950;137.12;1.94
Ana Luiza Freitas;21/03/2010;81.83;1.9
Jo∆o Pedro Campos;24/04/1904;54.74;1.78
Jo∆o Miguel Pires;08/12/1920;95.97;1.87
Diego Souza;12/07/2005;126.96;1.8
Eloah da Rocha;24/10/1961;139.36;1.47
Ana Julia Nascimento;24/07/1962;98.64;1.89
Jo∆o Pedro Ara£jo;09/04/2005;115.58;1.7
Pedro Henrique da Paz;11/02/1943;125.32;1.52
Luiz Miguel Oliveira;10/02/1994;129.37;1.54
Jo∆o Lucas Caldeira;15/09/1908;89.77;1.8
Dra. Raquel Monteiro;06/08/1963;71.07;1.44
Jo∆o Miguel Costela;05/05/1923;117.21;2.08
J£lia Moura;24/07/1962;149.17;1.97
Ana L°via Ara£jo;02/11/1986;91.28;1.89
Sra. Ana Carolina Cavalcanti;15/12/2006;86.88;1.61
Sarah Correia;11/09/1920;77.41;2
Sra. Fernanda Fogaáa;05/01/1959;133.15;2.08
Pedro Miguel da Luz;17/01/1966;62.78;1.4
Diego Silveira;24/05/1951;102.91;1.54
Ana Clara Ramos;31/05/1917;133.53;1.8
Bruno Azevedo;15/07/1927;149.44;1.86
Gabriel Farias;27/02/2007;93.82;1.59
Jo∆o Vitor Lima;12/03/1934;44.98;2.07
Thomas Duarte;20/10/1950;55.59;1.98
Clara Barbosa;14/10/1998;135.98;1.58
Carlos Eduardo Castro;01/03/2015;63.7;1.74
Maria Luiza Correia;20/01/1942;122.26;1.51
Breno da Cunha;03/02/1926;145.43;1.98
Enrico Ribeiro;01/07/1984;125.8;2.1
Miguel Alves;23/06/1979;97.78;1.67
Srta. Isadora Fernandes;15/02/1979;80.94;1.49
Isis da Conceiá∆o;22/06/1994;47.9;1.97
Olivia Freitas;06/09/1914;97.54;1.79
Marcos Vinicius Silva;29/10/1938;54.94;1.88
Let°cia Oliveira;26/01/2009;62.45;1.42
Srta. Nicole Cunha;16/08/2021;106.28;1.84
Sophia Porto;18/04/1940;127.13;1.92
Arthur Gomes;25/01/2022;138.72;1.6
Guilherme Vieira;18/01/1951;51.51;1.85
Lucas Gabriel Arag∆o;02/08/2007;110.61;1.77
Maria Silva;11/07/2012;64.46;2.05
Olivia Cardoso;13/01/2019;92.38;1.75
Joaquim Azevedo;28/06/1932;137.99;1.49
Ian Teixeira;14/06/1960;59.56;1.58
Rebeca Silveira;07/07/1942;87.19;1.89
Laura Pinto;30/12/1977;127.89;1.72
Maria Fernanda da Costa;30/08/1920;131.56;2.04
Srta. Esther da Mata;29/04/1932;44.85;1.5
Diogo Cardoso;07/03/1915;110.7;1.69
Antìnio Rezende;30/09/1926;123;1.99
Srta. Ana Vit¢ria Carvalho;18/09/2002;99.98;1.97
Amanda Costela;09/03/1912;95.59;1.61
Nicolas Melo;01/11/1902;61.72;1.64
Benjamin Carvalho;16/05/1936;77.08;1.96
Heitor Moura;01/11/1965;139.49;1.51
Milena Carvalho;21/06/2024;68.12;2.09
Isadora Melo;07/12/1963;148.71;2.02
Ot†vio Teixeira;08/03/1974;109.89;1.44
Juan Pinto;20/10/1982;122.84;1.68
Fernanda Lima;18/01/1917;78.37;1.56
Carolina Moraes;08/01/1958;103.79;2.01
Pedro Cardoso;25/09/1925;83.19;1.56
Amanda Freitas;03/02/1961;126.15;1.62
Miguel da Conceiá∆o;26/10/1918;88.38;1.56
Ana Sophia Oliveira;08/02/1934;113.85;1.78
Davi Lucca Nascimento;18/01/2008;94.67;1.47
Emanuelly Farias;02/02/1913;141.71;1.72
Vit¢ria Gomes;29/11/1909;53.58;1.69
Lara Jesus;25/02/1922;62.18;1.57
Maysa Caldeira;29/11/1923;124.31;1.91
Eduarda Fogaáa;08/10/1996;92.61;1.84
Joaquim Duarte;06/04/1938;71.1;2.07
Stephany Rodrigues;07/10/1961;115.05;1.71
Arthur Campos;20/02/1914;111.88;1.43
Jo∆o Gabriel Silveira;06/06/1906;108.5;1.45
Isis Jesus;08/12/2013;57.8;1.97
Renan Peixoto;22/05/1988;76.86;1.78
Jo∆o Miguel Moraes;04/10/2007;108.5;1.79
Vitor Gabriel das Neves;12/02/2005;142.83;1.82
Dra. Maria Alice Viana;21/07/1909;110.9;1.81
Cec°lia Mendes;15/07/1911;50.98;1.93
Melissa Nunes;25/10/1956;144.27;2.03
Dra. Pietra Souza;17/05/1933;58.46;1.87
Pedro Henrique Farias;13/04/1948;130.52;1.81
Thomas Dias;21/01/1935;95.83;1.53
Maità Rocha;18/12/2000;141.08;1.92
Enrico Barros;10/02/1910;79.91;1.45
Ana Clara Rodrigues;10/09/1999;108.33;1.71
Vitor Gabriel da Rosa;04/01/1979;88.72;1.48
Ana Sophia Silveira;13/10/1985;72.69;1.42
Calebe Ara£jo;29/06/2005;111.77;1.66
Maria Ramos;29/03/2022;127.83;1.86
Caio Moraes;18/07/1913;130.18;1.94
Joana da Mota;04/11/1989;57.25;1.52
Ana Carolina da Rocha;10/09/2021;149.97;1.71
Davi da Costa;06/05/2022;137.07;2.1
Rafaela da Cunha;19/08/1915;134.31;1.9
Joaquim Souza;07/11/2018;114;1.94
Alice Farias;21/09/2018;146.91;1.87
Ian Arag∆o;28/04/1930;62.63;1.66
Benjamin Moreira;13/05/1947;120.58;1.44
Theo Souza;02/04/1903;140.82;2.08
Alexia Ramos;20/11/1912;129.91;2.07
Srta. Carolina da Luz;14/12/1988;95.9;1.99
Diogo Jesus;18/09/1953;105.59;1.82
Ot†vio Carvalho;09/01/1915;75.24;1.68
Jo∆o Pedro Cavalcanti;12/03/2011;124.57;1.58
Arthur Sales;07/11/1967;45.14;1.48
Alexandre Castro;25/07/1946;73.01;1.71
Davi Luiz Moura;29/11/1980;48.9;1.42
Lorenzo das Neves;26/08/1959;126.23;1.84
